NAME,VOTES,COMMITTEE,CMTE_TYPE,MONTH,DAY,YEAR,CONGRESS,PAGE
Greene,2,Cmte on bill Post Roads,,Mar,12,1800,6,10
Gunn,6,Cmte on bill Post Roads,,Mar,12,1800,6,10
Hill,1,Cmte on bill Post Roads,,Mar,12,1800,6,10
lang,3,Cmte on bill Post Roads,,Mar,12,1800,6,10
Lat,4,Cmte on bill Post Roads,,Mar,12,1800,6,10
Laur,8,Cmte on bill Post Roads,,Mar,12,1800,6,10
Liver,3,Cmte on bill Post Roads,,Mar,12,1800,6,10
Lloyd,2,Cmte on bill Post Roads,,Mar,12,1800,6,10
Marsh,5,Cmte on bill Post Roads,,Mar,12,1800,6,10
Mas,4,Cmte on bill Post Roads,,Mar,12,1800,6,10
Nich,14,Cmte on bill Post Roads,,Mar,12,1800,6,10
Paine,3,Cmte on bill Post Roads,,Mar,12,1800,6,10
Pinck,4,Cmte on bill Post Roads,,Mar,12,1800,6,10
Read,12,Cmte on bill Post Roads,,Mar,12,1800,6,10
Ross,7,Cmte on bill Post Roads,,Mar,12,1800,6,10
Schur,2,Cmte on bill Post Roads,,Mar,12,1800,6,10
Tracy,5,Cmte on bill Post Roads,,Mar,12,1800,6,10
Wat,5,Cmte on bill Post Roads,,Mar,12,1800,6,10
Wells,2,Cmte on bill Post Roads,,Mar,12,1800,6,10
And,1,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Bald,2,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Bing,8,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Blood,2,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Brown,1,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Cocke,1,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Foster,1,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Frank,1,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Goodhue,16,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Greene,3,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Gunn,1,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Hill,1,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Lang,4,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Laur,5,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Liver,3,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Lloyd,1,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Mas,2,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Nich,4,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Pinck,1,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Read,2,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Ross,3,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Schur,2,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Tracy,2,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
Wat,5,Cmte Sec of T return of emolument to officers of customs,,Mar,12,1800,6,10
And,4,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Blood,1,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Brown,1,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Chip,3,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Cocke,2,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Dayton,1,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Frank,3,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Good,2,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Greene,4,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Gunn,11,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Hill,6,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Lang,2,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Laur,6,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Liver,1,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Lloyd,2,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Mason,1,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Nich,3,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Paine,1,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Pinck,1,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Read,3,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Ross,3,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Schur,1,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Tracy,3,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Wat,2,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
Wells,2,Cmte bill for relief of Campbell Smith,,Mar,13,1800,6,10
And,2,Cmte bill district court of NC,,Mar,14,1800,6,10
Bald,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Bing,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Blood,10,Cmte bill district court of NC,,Mar,14,1800,6,10
Brown,2,Cmte bill district court of NC,,Mar,14,1800,6,10
Chip,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Cocke,2,Cmte bill district court of NC,,Mar,14,1800,6,10
Dayton,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Frank,11,Cmte bill district court of NC,,Mar,14,1800,6,10
Greene,2,Cmte bill district court of NC,,Mar,14,1800,6,10
Gunn,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Hill,1,Cmte bill district court of NC,,Mar,14,1800,6,10
How,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Laur,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Liver,5,Cmte bill district court of NC,,Mar,14,1800,6,10
Marsh,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Mas,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Nich,4,Cmte bill district court of NC,,Mar,14,1800,6,10
Paine,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Read,2,Cmte bill district court of NC,,Mar,14,1800,6,10
Ross,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Schur,1,Cmte bill district court of NC,,Mar,14,1800,6,10
Tracy,2,Cmte bill district court of NC,,Mar,14,1800,6,10
Wells,1,Cmte bill district court of NC,,Mar,14,1800,6,10
And,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Bald,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Bing,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Blood,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Brown,4,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Chip,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Cocke,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Dayton,7,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Dexter,8,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Foster,1,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Frank,3,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Greene,5,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Gunn,1,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Hillhouse,1,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Lang,1,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Laur,3,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Liver,3,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Lloyd,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Marsh,1,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Mason,4,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Nich,3,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Pinck,1,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Read,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Ross,8,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Schur,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
Tracy,2,Cmte on bill military interference at elections,,Mar,17,1800,6,10
And,14,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Blood,3,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Brown,1,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Chip,1,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Cocke,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Dayton,4,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Dext,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Frank,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Goodhue,1,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Greene,3,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Gunn,1,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Hill,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Lang,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Laur,1,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Liver,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Lloyd,1,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Marsh,4,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Nich,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Paine,3,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Read,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Ross,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Schur,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Tracy,5,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Wat,2,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
Wells,1,Cmte memorial of Paul McDermott,,Mar,17,1800,6,10
And,2,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Bing,12,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Brown,3,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Cocke,1,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Dayton,2,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Frank,1,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Good,10,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Hill,6,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Lang,1,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Laur,2,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Liver,1,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Lloyd,1,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Marsh,2,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Read,1,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
Ross,3,Cmte of Conference New Orleans bill,,Mar,17,1800,6,11
And,1,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Blood,1,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Brown,2,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Cocke,2,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Dayton,7,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Dexter,4,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Foster,1,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Good,1,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Greene,1,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Gunn,10,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Hill,3,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Lang,2,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Laur,1,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Liver,4,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Lloyd,4,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Mason,2,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Nich,3,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Paine,2,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Read,3,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Ross,5,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Schur,2,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Tracy,4,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
Wells,1,Cmte on bill pay PMG & assts to Adjunt General,,Mar,18,1800,6,11
And,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Bald,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Bing,8,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Brown,2,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Dayton,2,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Dext,4,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Frank,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Good,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Greene,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Gunn,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Hill,7,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Lang,2,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Lat,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Laur,2,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Liver,3,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Marsh,2,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Mason,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Nich,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Paine,7,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Read,11,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Ross,2,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Schur,1,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
Tracy,6,Cmte on bill PUS borrow $,,Mar,21,1800,6,11
And,3,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Bald,2,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Bing,1,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Brown,6,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Dayton,4,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Dexter,7,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Frank,1,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Greene,1,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Gunn,12,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Hill,1,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Lang,1,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Liver,1,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Marsh,7,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Nich,1,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Ross,12,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
Tracy,7,Cmte on bill settlement of limits w/ GA,,Mar,21,1800,6,11
And,2,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Bald,2,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Bing,2,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Brown,3,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Chip,4,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Dayton,1,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Dexter,3,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Foster,1,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Frank,1,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Greene,4,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Gunn,2,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Hill,2,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Lang,1,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Lat,2,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Laur,1,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Liver,9,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Marsh,7,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Mas,2,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Nich,1,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Paine,8,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Ross,2,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Schur,3,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Tracy,6,Cmte on bill patents & patentees,,Mar,21,1800,6,11
Bing,10,Cmte on John Collet's bill,,Mar,21,1800,6,11
Blood,1,Cmte on John Collet's bill,,Mar,21,1800,6,11
Cocke,2,Cmte on John Collet's bill,,Mar,21,1800,6,11
Dayton,4,Cmte on John Collet's bill,,Mar,21,1800,6,11
Dexter,1,Cmte on John Collet's bill,,Mar,21,1800,6,11
Foster,1,Cmte on John Collet's bill,,Mar,21,1800,6,11
Good,13,Cmte on John Collet's bill,,Mar,21,1800,6,11
Greene,1,Cmte on John Collet's bill,,Mar,21,1800,6,11
Hill,1,Cmte on John Collet's bill,,Mar,21,1800,6,11
Lang,6,Cmte on John Collet's bill,,Mar,21,1800,6,11
Lat,2,Cmte on John Collet's bill,,Mar,21,1800,6,11
Liver,2,Cmte on John Collet's bill,,Mar,21,1800,6,11
Lloyd,1,Cmte on John Collet's bill,,Mar,21,1800,6,11
Marsh,2,Cmte on John Collet's bill,,Mar,21,1800,6,11
Paine,2,Cmte on John Collet's bill,,Mar,21,1800,6,11
Read,4,Cmte on John Collet's bill,,Mar,21,1800,6,11
Schur,1,Cmte on John Collet's bill,,Mar,21,1800,6,11
And,2,Cmte on RI College bill,,Mar,27,1800,6,11
Bald,2,Cmte on RI College bill,,Mar,27,1800,6,11
Brown,2,Cmte on RI College bill,,Mar,27,1800,6,11
Chipman,1,Cmte on RI College bill,,Mar,27,1800,6,11
Dexter,4,Cmte on RI College bill,,Mar,27,1800,6,11
Foster,2,Cmte on RI College bill,,Mar,27,1800,6,11
Goodhue,1,Cmte on RI College bill,,Mar,27,1800,6,11
Greene,8,Cmte on RI College bill,,Mar,27,1800,6,11
Hill,4,Cmte on RI College bill,,Mar,27,1800,6,11
Langdon,5,Cmte on RI College bill,,Mar,27,1800,6,11
Laurance,1,Cmte on RI College bill,,Mar,27,1800,6,11
Liver,2,Cmte on RI College bill,,Mar,27,1800,6,11
Mash,2,Cmte on RI College bill,,Mar,27,1800,6,11
Mason,3,Cmte on RI College bill,,Mar,27,1800,6,11
Nich,2,Cmte on RI College bill,,Mar,27,1800,6,11
Paine,2,Cmte on RI College bill,,Mar,27,1800,6,11
Pinck,2,Cmte on RI College bill,,Mar,27,1800,6,11
Read,1,Cmte on RI College bill,,Mar,27,1800,6,11
Ross,4,Cmte on RI College bill,,Mar,27,1800,6,11
Schur,3,Cmte on RI College bill,,Mar,27,1800,6,11
Tracy,1,Cmte on RI College bill,,Mar,27,1800,6,11
Wells,2,Cmte on RI College bill,,Mar,27,1800,6,11
And,5,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Blood,2,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Brown,6,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Cocke,1,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Dexter,1,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Foster,1,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Franklin,1,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Good,1,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Greene,2,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Gunn,1,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Hillhouse,7,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Lang,1,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Laur,3,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Liver,6,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Marsh,3,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Mason,2,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Paine,7,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Ross,5,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Schur,1,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
Tracy,1,Cmte on bill Indian Tribes,,Mar,27,1800,6,11
And,2,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Bald,4,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Blood,2,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Brown,4,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Cocke,3,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Dexter,4,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Foster,1,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Frank,3,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Greene,3,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Gunn,1,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Hillhouse,1,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Lang,4,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Laur,1,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Liver,1,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Lloyd,1,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Marsh,3,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Nich,3,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Paine,5,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Pinck,1,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Ross,6,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Schur,3,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Tracy,4,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
Wells,2,Cmte bill alt oaths in enumeration bill,,Mar,28,1800,6,11
And,2,Cmte bring bill prayer of Robinson & Harthorne,,Mar,28,1800,6,12
