,committee,date,congress,page
33,,1791-02-21,1,10
34,‘omte of conference on whiskey bill,1791-02-23,1,11
35,‘omte on res to increase Sec of T's salary by 25%,1791-02-24,1,11
36,‘omte on payments to certain states bill,1791-02-28,1,11
37,‘omte on foreign coins bill,1791-03-01,1,11
38,‘omte on revise laws about to expire bill,1791-03-01,1,11
39,‘omte on widows & orphans of certain officers bill,1791-03-02,1,11
40,‘omte on bill on compensation for loan commissioners,1791-03-02,1,11
41,Cmte on judicial officers bill,1791-03-02,1,11
42,‘omte on teas & wines duties bill,1791-03-02,1,11
43,Cmte on law revision bill,1791-03-03,1,11
44,"Cmte on GW's message, r",1791-01-19,1,11
45,"Cmte on Lee's motion regarding the reception of messages from the
HR",1789-05-01,1,2
46,"Cmte of Conference on joint rules, enrolled bills & mode of
presenting addresses to PUS",1789-05-06,1,2
47,Cmte on titles (how Senate address PUS),1789-05-08,1,2
48,Cmte to view rooms & confer with HR on how to appropriate,1789-05-09,1,2
49,Cmte to confer with HR on differences on titles,1789-05-09,1,2
50,Cmte on how to determine classes for senators,1789-05-11,1,2
51,"Cmte to confer with HR on what newspapers members furnished with
at public expense",1789-05-13,1,2
52,"Cmte to report bill defining crimes & offenses & punishment
thereof",1789-05-13,1,2
53,Cmte to meet with any HR cmte to lay before PUS oath bill,1789-05-18,1,2
54,Cmte to revise journal prior to publication,1789-05-19,1,2
55,Cmte to inspect oath bill,1789-05-22,1,2
56,Jt Cmte on how to receive messages from PUS,1789-05-26,1,2
57,"Cmte to consider & report mode of communicating act of Congress
to states & # printed",1789-06-03,1,2
58,"Cmte to consider expediency of adding clause prohibiting
importation of goods from China or India in ships not belonging
to US to impost bill",1789-06-08,1,2
59,"Cmte to report bill for regulating trade between US & territories
of other powers in North america, West Indies, so to place on
more beneficial & permanent footing",1789-06-17,1,2
60,Cmte of conference on Impost bill,1789-06-25,1,3
61,Cmte of conference on tonnage bill,1789-06-25,1,3
62,Jt emte on enrolled impost bill,1789-07-01,1,3
63,Jt emte on enrolled tonnage bill,1790-07-06,1,3
64,Cmte on HR bill on duties on tonnage bill,1789-07-20,1,3
65,Jt emte on enrolled bill creating state dept,1789-07-21,1,3
66,Cmte on lighthouse bill,1789-07-23,1,3
67,Jt emte on enrolled duty in tonnage bill,1789-07-29,1,3
68,Jt emte on enrolled bills (standing),1789-07-31,1,3
69,Jt Cmte on adjournment,1789-08-05,1,3
70,Cmte on salary bill,1789-08-06,1,3
71,Cmte on bill to regulate to coasting trade,1789-08-10,1,3
72,Cmte of Conference on Treasury dept bill,1789-08-10,1,3
73,Cmte on bill providing $ for negotiation of Indian treaties,1789-08-14,1,3
74,Cmte on congressional salary bill,1789-08-25,1,3
75,Cmte on bill to provide for the safe keeping of records,1789-09-02,1,3
76,Cmte of Conference on PUS & VP salary bill,1789-09-08,1,3
77,Cmte of Conference on congressional salary bill,1789-09-08,1,3
78,Cmte on PO resolution,1789-09-10,1,3
79,Cmte on bills to suspend duties,1789-09-11,1,4
80,Cmte on judiciary bill,1789-09-17,1,4
81,Cmte of Conference on amendments to the Constitution,1789-09-21,1,4
82,Cmte on petition of Baron de Gaubeck,1789-09-24,1,4
83,Cmte on appropriations bill,1789-09-26,1,4
84,Cmte of Conference on judicial process bill,1789-09-26,1,4
85,Cmte on invalid pensioners bill,1789-09-26,1,4
86,Cmte to ascertain attendance & travelling expenses for members,1789-09-26,1,4
87,Cmte on troop bill,1789-09-26,1,4
88,Cmte on bill amending law to regulate collection,1789-09-26,1,4
89,Cmte on bill explaining,1789-09-26,1,4
90,Cmte to wait on PUS to ask for day of thanksgiving,1789-09-26,1,4
91,Cmte on 6 Nations treaty,1789-06-12,1,4
92,Cmte to wait on PUS & confer on proper mode of communication,1789-08-06,1,4
93,"Cmte on GW's message of Sept 17, r",1789-09-17,1,4
94,Jt Cmte to wait on PUS,1790-01-06,1,4
95,Cmte to prepare response to PUS's message,1790-01-08,1,4
96,Cmte to report bill in addition to judiciary act of 1789,1790-01-08,1,5
97,Cmte to report bill to regulate processes in courts,1790-01-19,1,5
98,Jt emte on de novo,1790-01-20,1,5
99,Cmte to bring crime bill,1790-01-26,1,5
100,Cmte on bill giving effect to NC acts,1790-01-28,1,5
101,Cmte on NC cession,1790-02-01,1,5
102,Cmte on petition of Francis Bailey (patent),1790-02-02,1,5
103,Jt emte on enrolled bills,1790-02-03,1,5
104,"Cmte on memorial of Robert Morris, late superintendent of
finances",1790-02-09,1,5
105,"Cmte on plan for regulating trade between US & settlements of
European powers in america",1790-02-11,1,5
106,Cmte on census bill,1790-02-12,1,5
107,Cmte to report bill declaring acceptance of NC cession,1790-02-23,1,5
108,Cmte to prepare rule for reconsideration votes,1790-02-23,1,5
109,"Cmte to consider what measures necessary for inspection of
exports with leave to report bill",1790-02-24,1,5
110,Cmte on HR bill for Francis Bailey,1790-03-03,1,5
111,"Cmte on Izard's motion to direct Sec of T to direct port
collectors to insure state inspection laws followed, with leave
to report by bill",1790-03-04,1,6
112,Cmte on naturalization bill,1790-03-09,1,6
113,Cmte on remission bill,1790-03-11,1,6
114,Cmte on useful arts bill,1790-03-15,1,6
115,Cmte on remission bill recommitted on 3rd reading,1790-03-17,1,6
116,Cmte on appropriations bill,1790-03-18,1,6
117,Cmte of Conference on remission bill,1790-03-25,1,6
118,Cmte on militia bill,1790-03-30,1,6
119,Cmte on compensation due to senators this session,1790-04-01,1,6
120,Cmte to bring bill for govt of territory south of OH river,1790-04-07,1,6
121,Cmte on suspension of duties bill,1790-04-08,1,6
122,Cmte on relief of certain officers bill,1790-04-22,1,6
123,Cmte to consider what provisions should be made about RI,1790-04-28,1,6
124,Jt emte on rules,1789-04-30,1,6
125,Cmte on supplemental executive salary bill,1790-05-03,1,6
126,Cmte on means of intercourse bill,1790-05-03,1,6
127,"emte to consider when terms for PUS, VP, Senators, &
Representatives commence",1790-05-03,1,7
128,Cmte on John Ely bill,1790-05-04,1,7
129,Cmte on encouragement of learning bill,1790-05-04,1,7
130,Cmte on invalid officers bill,1790-05-05,1,7
131,Cmte on de Steuben bill,1790-05-11,1,7
132,Cmte of conference on bill giving effect to US laws in NC,1790-05-12,1,7
133,Cmte on HR res on nco's,1790-05-19,1,7
134,Cmte on Jenkins bill (3rd reading),1790-05-28,1,7
135,Cmte of Conference on intercourse bill,1790-05-31,1,7
136,Cmte on seat of govt bill,1790-06-02,1,7
137,Jt emte on necessary business,1790-06-08,1,7
138,Cmte on McCord claims bill,1790-06-07,1,7
139,Cmte on debt bill,1790-06-11,1,7
140,Cmte on Twining relief bill,1790-06-18,1,7
141,"emte on bill to purchase tract of lands & petition of Stephen
Moore",1790-06-21,1,7
142,Jt Cmte on adjournment,1790-06-24,1,7
144,Cmte on Sec of T's letter transmitting his accts,1790-06-29,1,8
145,Cmte on Gould relief bill,1790-06-29,1,8
146,Cmte on tonnage bill,1790-07-01,1,8
147,Cmte on merchant seaman bill,1790-07-01,1,8
148,Cmte on US/States accounts bill,1790-07-02,1,8
149,"Cmte on motion made June 14 to authorize loan not exceeding $22m
next session",1790-07-02,1,8
150,Cmte on Indian trade bill,1790-07-07,1,8
151,Cmte to whom recommitted US/States account bill (3rd reading),1790-07-09,1,8
152,Cmte on Indian treaty funding bill,1790-07-12,1,8
153,Cmte of Conference on PO bill,1790-07-14,1,8
154,Cmte of conference on Indian trade bill,1790-07-14,1,8
155,Cmte of Conference on US/State accounts bill,1790-07-16,1,8
156,Cmte on report on loan & debt bill,1790-07-17,1,8
157,Cmte on petition of Donald Campbell,1790-07-20,1,8
158,Cmte on effective duties collection bill,1790-07-21,1,8
159,Cmte on further debt provision bill,1790-07-21,1,8
161,Cmte on res on clerks’ salaries,1790-07-21,1,9
162,Cmte on consuls bill,1790-07-26,1,9
163,Cmte on res on Mentges,1790-07-29,1,9
164,Cmte on seamen bill,1790-07-29,1,9
165,Cmte on Stewart & Davidson relief bill,1790-07-29,1,9
166,Cmte on Barclay compensation bill,1790-07-30,1,9
167,"Cmte on MD, RI, GA bill",1790-08-06,1,9
168,Cmte on Sarah Alexander claims bill,1790-08-06,1,9
169,Jt cmte to wait on PUS,1790-08-10,1,9
170,"Cmte on PUS's message, r",1790-02-10,1,9
171,Jt emte to wait on PUS,1790-12-07,1,9
172,Cmte to prepare response to PUS's message,1790-12-08,1,9
173,Cmte on KY,1790-12-14,1,9
174,"‘omte on parts of PUS's speech as relates to commerce of
Mediterranean",1790-12-15,1,9
175,"‘omte to prepare bill as supplemental act for payment of US
debts",1791-01-21,1,9
176,"‘omte to consider parts of PUS's speech as relates to appt of
consuls",1790-12-16,1,9
177,"emte on MD, GA, RI bill",1790-12-16,1,9
178,,1790-12-21,1,9
179,"Cmte to wait on PUS, quorum",1791-10-24,2,1
180,"Jt Cmte to wait on PUS, agreeably to res of HR",1791-10-24,2,1
181,Cmte to reply to PUS’s speech of this day,1791-10-25,2,1
182,cmte on mint,1791-10-31,2,1
197,emte on HR bill to apportion HR,1792-01-05,2,2
245,emte on PUS’s message of Oct 26 r,1791-11-02,2,5
246,emte on Algiers captives,1791-12-05,2,5
247,emte report to original cmte,1792-02-22,2,5
248,cmte on consuls & vice consuls,1791-12-30,2,5
249,"emte on speech of Senaca Chief, Cornplanter, Cherokees, & all
papers, etc",1792-01-18,2,5
250,"emte to whom recommitted report on Algiers captives for purposes
of consulting with PUS",1792-03-07,2,5
251,"cmte on PUS’s message of this day, r",1792-03-07,2,5
252,"Cmte on PUS’s message of this day, r",1792-05-08,2,5
253,Cmte to wait on PUS,1792-11-05,2,6
254,cmte to prepare reply to PUS’s message,1792-11-06,2,6
255,"emte to report bill authorizing settlement of demands of Anthony

Walton White",1792-11-09,2,6
256,emte to report bill regulating foreign coins,1792-11-12,2,6
257,emte on judiciary system,1792-11-21,2,6
258,emte on expediency of law respecting fugitives from justice,1793-01-01,2,6
259,cmte on James Mathers petition for assistant to tend fires,1792-11-28,2,6
260,Cmte on HR bill for registering ships & vessels,1792-12-03,2,6
261,"emte on Bradley’s bill for extending time for settling accounts
with individual states",1792-12-10,2,6
262,Cmte on weights and measures,1792-12-18,2,6
263,Cmte on enrolled bills,1792-12-21,2,6
264,cmte on recommittal of fugitives from justice bill,1792-12-28,2,6
265,cmte plus Taylor & Sherman,1793-01-03,2,6
266,"\emte on HR bill for enrolling and licensing ships involved in
coasting trade, etc",1793-01-09,2,6
288,"Cmte on petition of Charles Knowles & others & report of Sec of
War",1793-02-15,2,8
294,Jt Cmte to wait on PUS,1793-12-02,3,1
295,Cmte of 5 to prepare reply to PUS’s speech,1793-12-03,3,1
296,Cmte of 2 to wait on PUS to find out when deliver reply,1794-01-08,3,1
297,"Cmte on petition of Conrad Laub, r",1794-01-21,3,1
298,Cmte on petition of Christian George,1794-01-27,3,1
299,cmte on part of PUS’s speech on provisions against offences,1794-02-03,3,1
300,"emte on petition of James & William Smith & Sec of War’s report
on Indian affairs",1794-02-07,3,1
301,cmte on enrolled bills,1794-02-11,3,1
302,emte on elections,1794-02-14,3,1
310,emte on HR bill for George Gibbs to obtain drawback,1795-02-18,3,10
311,emte on Hr bill for calling forth militia,1795-02-20,3,10
312,cmte on HR bill for relief of Robert Barton & others,1795-02-20,3,10
313,"emte on HR bill making further provision for support of public

credit",1795-02-20,3,10
314,"emte on HR bill for Count de Grasse’s daughters, payment of
$4000",1795-02-20,3,10
315,"cmte on HR bill for cessions for lighthouses, buoys, etc",1795-02-20,3,10
316,Cmte on Galliopolis bill,1795-02-23,3,10
317,\emte on HR bill for relief of Joze Roiz Silva,1795-02-23,3,10
318,"emte on HR bill making further appropriations for military &
naval establishments",1795-02-23,3,10
319,"Cmte on HR bills supplement to law for mint & coinage, and for
extending time for drawbacks on export of certain military
stores",1795-02-25,3,10
320,"emte on HR bill to amend law for laying duties on snuff and
sugar",1795-02-25,3,10
321,Jt cmte to wait on PUS,1795-02-25,3,10
322,,1795-02-27,3,10
323,,1795-02-27,3,10
324,,1795-02-28,3,10
325,,1795-03-03,3,10
326,"Cmte on PUS’s message of Dec 20 on nominations
of officers in corps of Artillerists & Engineers",1794-12-31,3,11
327,"emte on PUS’s message of Dec 30 on treaty made by Knox with
Cherokees",1795-01-05,3,11
328,emte on treaty made by Timothy Pickering with Six Nations,1795-01-07,3,11
329,Cmte to wait on PUS,1795-06-08,3,11
330,Cmte to wait on PUS,1795-06-26,3,11
331,"emte on PUS’s message of Feb 19, r",1794-02-19,3,2
332,"emte on HR bill remission of duties arising from tonnage of
sundry French vessels which have taken refuge in US ports",1794-05-22,3,2
333,"cmte on HR bill appropriations for 1794, Feb 27, 1794",1794-05-27,3,2
334,cmte on HR bill authorizing loan of $1m,1794-02-21,3,2
335,"Cmte on enrolled bills, in absence of Vining",1794-02-27,3,2
336,Cmte on necessary business,1794-03-07,3,2
337,"Cmte on NH leg remonstrance, r",1794-03-10,3,2
338,"emte on petition of Jabez Rogers, Jr",1794-03-13,3,2
339,cmte instructed to bring bill,1794-03-13,3,2
340,cmte on HR bill for defence of ports and harbours,1794-03-13,3,2
341,"Cmte on HR bill limit time for presenting claims for destroyed
certificates",1794-03-14,3,2
342,"emte on HR bill for expences attending intercourse with foreign
nations & to continue law enforce for intercourse with foreign
nations",1794-03-14,3,2
343,emte on HR bill appropriations for military establishment,1794-03-19,3,2
346,"Cmte on HR? bill authorize PUS in certain cases to alt place for
holding session of Congress",1794-03-20,3,3
347,"Cmte on motion to consider what manner duties of office of a
district judge shall be discharged during inability of judge",1794-03-21,3,3
348,"emte on AG’s report on petition of French inhabitants of
Galliopolis",1794-03-24,3,3
349,emte on HR bill for relief of Stephen Paranque,1794-03-24,3,3
350,Cmte on HR bill for buoys off New London,1794-03-25,3,3
351,cmte of conference on bill for arsenals & magazines,1794-03-25,3,3
352,"cmte on Jackson’s bill for widow & orphans of Robert Forsyth, who
was killed in service of US",1794-03-26,3,3
353,"cmte on PUS’s message of March 28, embargo",1794-03-28,3,3
354,emte on HR bill encourage recruiting serve,1794-04-07,3,3
355,Cmte on HR Bill Post office & post roads,1794-04-07,3,3
356,emte on HR bill for LT Col,1794-04-10,3,3
357,"emte on HR bill for lighthouse in Island of Seguin, ME with

amendment for one on Island of Cumberland at entrance of river
St",1794-04-10,3,3
358,emte on HR bill for Ephraim Kimberly,1794-04-10,3,3
359,emte on petition of messrs,1794-04-21,3,3
360,,1794-04-23,3,3
361,Cmte on HR bill for corps of artillerists and engineers,1794-04-24,3,4
362,cmte on Sec of War’s report on invalid pensioners,1794-04-25,3,4
363,cmte of conference on recruiting service bill,1794-04-29,3,4
364,emte on bill for relief of French inhabitants of Galliopolis,1794-04-30,3,4
365,cmte on petition of James Mathers,1794-04-30,3,4
366,"cmte to report
on George Taylor (already did on Mathers)",1794-05-06,3,4
367,Cmte report on May 25,1794-05-06,3,4
368,"emte on King’s bill to prohibit export of guns and ammo for
limited time",1794-05-07,3,4
369,"emte on motion made May 2 that a quantity of timber be provided
for building 20 ships of 44-guns each",1794-05-08,3,4
370,"emte on motion that cmte be appointed to consider what part of
trade released from effect of embargo without interfering with
principle of embargo",1794-05-12,3,4
371,Cmte to bring bill on next mtg of Congress,1794-05-12,3,4
372,"Cmte on HR bill for payment of certain expenses incurred by
Fulwar Skipwith, on public account",1794-05-15,3,4
373,"Cmte appointed April 15 last on KY senators’ resolutions relating
to navigation of MS",1794-05-16,3,4
374,emte?] See,1794-05-16,3,4
377,"cmte on HR bill for final settlements of accounts between the US
& states",1794-05-19,3,5
378,"Cmte on HR bill for additional duties on goods, etc imported &
tonnage",1794-05-20,3,5
379,"cmte on Jackson’s bill to allow PUS to have built or purchase a #
of vessels during congressional recess",1794-05-21,3,5
380,"emte to report bill to authorize settlement of accounts of loan
officers, for clerk hire & stationary",1794-05-22,3,5
381,emte on HR bill for Arthur St,1794-05-22,3,5
382,"emte to consider necessary measures for defense of US & can
report bill(s)",1794-05-25,3,5
383,"emte on HR bill for determining northern boundary of land ceded
by NC",1794-05-26,3,5
384,"\emte on Hr bill for collecting duties on foreign & domestic
distilled spirits, stills wines, & teas",1794-05-27,3,5
385,Cmte on HR bill for officers & soldiers of VA line,1794-05-28,3,5
386,Cmte on HR bill for laying duties on snuff and sugar,1794-05-28,3,5
387,cmte on HR bill for more effective protection of sw frontier,1794-05-30,3,5
388,"emte of Conference on bill for collecting duties on foreign &

domestic distilled spirits, stills wines, & teas",1794-05-31,3,5
389,"emte on HR bill for laying duties on licenses for selling wines
and foreign distilled spirituous liquors",1794-06-03,3,6
390,emte on HR bill for relief of John Robbe,1794-06-03,3,6
391,"Cmte on HR bill for payment of certain sum of money due to
France",1794-06-03,3,6
392,"emte on HR bill for Robert Forsyth, marshal of GA",1794-06-04,3,6
393,"Cmte of Conference on bill for laying additional duties on goods,
wares, and merchandize imported into US & on tonnage",1794-06-04,3,6
394,\emte on HR bill for useful arts,1794-06-04,3,6
395,cmte on HR bill for act of MD health officer,1794-06-04,3,6
396,"cmte on petition of George Nixon & others, clerks in Auditor’s

office",1794-06-06,3,6
397,emte of Conference on bill for protection of SW frontier,1794-06-06,3,6
398,"emte on HR bill for appropriations for purposes expressed
",1794-06-07,3,6
399,cmte to wait on PUS,1794-06-07,3,6
400,"Cmte on navigation of MS river [Resolutions
made April 15)",1794-06-07,3,6
401,emte on wait on PUS,1794-06-07,3,6
402,,1794-04-16,3,6
403,,1794-11-18,3,6
404,emte to prepare reply to PUS,1794-11-19,3,7
405,"cmte to prepare rules if necessary to compel attendance of
senators",1794-11-21,3,7
406,Cmte on enrolled bills,1794-11-27,3,7
407,"emte on demands of Griffith Jones, Samuel Priloeau, & John R",1794-12-02,3,7
408,"Cmte to bring bill to amend & explain 22nd clause of act to
establish judicial courts",1794-12-04,3,7
409,cmte on necessary business,1794-12-08,3,7
410,"cmte] On Dec 9,
Ellsworth excused and Jackson appointed",1794-12-09,3,7
411,emte on HR bill for Peter Covenhoven,1794-12-10,3,7
412,"Cmte to revise provisions for employment & compensations for
clerks in public offices & report bill if necessary",1794-12-11,3,7
413,cmte on PUS’s message of Dec 11 re office of procuring certain public supplies,1794-12-11,3,7
414,emte on outlawry,1794-12-11,3,7
415,emte on bill to est post office & post roads,1794-12-11,3,7
416,emte on HR bill authorizing loan of $2m,1794-12-11,3,7
417,emte on HR bill appropriations for 1795,1794-12-15,3,7
418,"emte on HR bill authorizing officers of Treasury to audit and
pass account of Edward Blanchard",1794-12-15,3,7
420,"emte on HR bill appropriations for military establishment for
1795",1794-12-19,3,8
421,"cmte on HR bill to transfer stock standing to credit of certain
states",1794-12-23,3,8
422,"cmte on HR amendment to Senate amendment to Bill to regulate pay
of nco’s, etc",1794-12-23,3,8
423,"cmte of Conference on HR amendment to Senate amendment to Bill to
regulate pay of nco’s, etc",1794-12-26,3,8
424,emte on petition of Elkanah Prentice with report of Sec war,1794-12-29,3,8
425,"emte on judiciary--powers of judges to appoint special session of
circuit courts",1794-12-30,3,8
426,"emte to consider expediency of further extending time for
receiving loan, domestic debt & if proper report bill",1794-12-31,3,8
427,"Cmte on HR bill for losses suffered at hands of Western PA
insurgents",1795-01-07,3,8
428,emte on HR bill for drawbacks,1795-01-08,3,8
429,emte on HR bill for supplement to several acts imposing duties,1795-01-12,3,8
430,emte on settlers at Galliopolis,1795-01-13,3,8
431,"emte to bring bill making extra allowance to certain clerks in
public offices",1795-01-16,3,8
432,emte on HR bill to establish uniform rules of naturalization,1795-01-20,3,8
433,emte on HR bill for relief of Epaphras Jones & others,1795-01-26,3,8
435,emte on petition of Zachariah Allen,1795-01-27,3,9
436,mte on HR bill concerning invalids,1795-01-28,3,9
437,emte on HR bill prohibiting export of arms & ammo,1795-01-30,3,9
438,emte on Tazewell’s bill declaring consent to VA act,1795-02-04,3,9
439,cmte on Hr bill for drawback on cargo of Enterprise,1795-02-05,3,9
440,emte on expiring laws,1795-02-05,3,9
441,"Cmte on HR bill compensations of certain officers employed in
collection of duties",1795-02-06,3,9
442,"\emte on HR bill for lighthouse near G’town, SC",1795-02-09,3,9
443,emte on HR amendments P,1795-02-10,3,9
444,\emte of Conference on bill for enrolling & licensing ships,1795-02-11,3,9
445,emte on HR bill for reimbursement of loan,1795-02-12,3,9
446,cmte on cmte report on clerks’s salaries,1795-02-13,3,9
447,"Cmte on petition of John M’Lean, in behalf of Angus M’Lean",1795-02-16,3,9
448,"emte on laws of GA, referred to PUS in message of Feb 17",1795-02-17,3,9
449,emte on HR bill for more effective recovery of debts,1795-02-18,3,9
450,,1795-02-18,3,9
451,Jt Cmte to wait on PUS,1795-12-07,4,1
452,emte to prepare reply,1795-12-08,4,1
453,"emte on petition of John Blanch, patent",1795-12-14,4,1
454,"cmte on reports of Directors of Mint to PUS, send to VP by Sec of
State",1795-12-14,4,1
455,"Cmte to consider report from Dept of War on measures taken for
opening trade with Indians",1795-12-16,4,1
456,emte to inquire about unfinished business from last session,1795-12-17,4,1
457,cmte on petition of Jeremiah Allen,1795-12-22,4,1
458,emte to report bill to regulate proceedings in cases of outlawry,1795-12-23,4,1
459,emte on Tazewell’s bill giving consent to Act of VA,1795-12-28,4,1
460,emte to revise judiciary system,1795-12-28,4,1
461,emte to inquire what laws will expire,1796-01-13,4,1
462,emte on HR bill 1796 appropriations,1796-01-21,4,1
463,Jt Cmte on enrolled bills,1796-01-29,4,1
464,"cmte on petition of John Howell, commander of revenue cutters",1796-02-02,4,1
465,cmte on HR bill Indian trading houses,1796-02-04,4,1
466,,1796-02-05,4,1
467,cmte on memorial of Thomas Leiper & Co,1796-02-10,4,2
468,emte to report bill to regulate clerks,1796-02-12,4,2
469,"cmte on memorial of clerks who stayed in Phila during yellow
fever",1796-02-12,4,2
470,cmte on recommittal of bill to regulate compensation for clerks,1796-02-17,4,2
471,Cmte on HR bill for relief of Benjamin Strother,1796-02-19,4,2
472,"cmte on HR bill for relief of certain officers & soldiers who
have been wounded or disabled",1796-02-22,4,2
473,emte on petition of Rufus Putnam & others,1796-02-22,4,2
474,Cmte on HR bill for relief of Israel Loring,1796-02-24,4,2
475,"cmte on papers from KY gov, presented Feb 26",1796-03-01,4,2
476,Cmte on petition of Anthony Walton White,1796-03-02,4,2
477,"Cmte on message of PUS on March 15, r",1796-03-02,4,2
478,emte on petition of Charles King &,1796-03-08,4,2
479,"emte to bring bill making certain provisions for NC circuit
court",1796-03-15,4,2
480,Cmte on memorial of Ebenezer Zane,1796-03-18,4,2
481,"Cmte on HR bill directing Sec of War to add certain names to
pension list",1796-03-23,4,2
482,,1796-03-23,4,2
483,,1796-03-25,4,2
484,,1796-03-28,4,2
485,"emte on HR bill declaring consent to acts of MD, GA, RI",1796-03-28,4,3
486,emte on petition of Legare & Co,1796-04-01,4,3
487,emte on HR bill for widows & orphans,1796-04-04,4,3
488,"emte of conference on bill establishing trading houses with
Indians",1796-04-04,4,3
489,cmte on HR bill for protection of American seamen,1796-04-05,4,3
490,"emte on HR bill for providing for sale of lands in territory nw
of OH river & above mouth of KY",1796-04-07,4,3
491,cmte on HR bill public credit & redemption of public debt,1796-04-08,4,3
492,emte on petition of Charles Colvil,1796-04-13,4,3
493,"Cmte on PUS’s message of April 8, new state South of OH river",1796-04-12,4,3
494,"cmte
instructed to bring bill",1796-04-14,4,3
495,emte on enrolled bills,1796-04-15,4,3
496,"cmte on HR appropriation bills for treaties & confidential
message of Sec of state [PUS message of March 29]",1796-04-20,4,3
497,emte on HR bill for revenue cutters,1796-04-26,4,3
498,emte on memorial of Walter Stewart,1796-04-27,4,3
499,emte on bill to regulate trade & intercourse with Indian Tribes,1796-04-27,4,3
500,"cmte appointed?]

Nvcmte on report of AG respecting lands situated in southwestern
part of US",1796-04-29,4,3
502,Cmte on HR resolution for jt cmte on necessary business,1796-05-02,4,4
503,"cmte on Conference on bill for relief & protection of American
seamen",1796-05-03,4,4
504,emte on HR bill for relief of still owners,1796-05-04,4,4
505,Cmte on HR bill for military establishment,1796-05-04,4,4
506,Cmte on HR bill for payment of certain US debts,1796-05-06,4,4
507,"cmte on HR bill providing compensation for horses killed in
battle",1796-05-06,4,4
508,emte on HR bill for more effective collection of duties,1796-05-06,4,4
509,emte on HR bill for relief of Moses Myers,1796-05-06,4,4
510,emte on HR bill for erection of lighthouse on Cape Cod,1796-05-06,4,4
511,"cmte on HR bill for compensating Jonathan Hastings, deputy
postmaster of Boston",1796-05-06,4,4
512,cmte on HR bill for laying duties on carriages,1796-05-09,4,4
513,Cmte on HR bill for relief of Sylvanus Bourne,1796-05-10,4,4
514,cmte on HR bill altering sessions of circuit courts in VT & RI,1796-05-11,4,4
515,"Cmte on Conference on bill sale of lands nw of OH river & above
mouth of KY",1796-05-12,4,4
516,emte on bill relative to Quarantine,1796-05-13,4,4
517,"Cmte on HR bill to prevent sale of prizes brought into US by
vessels belonging ",1796-05-14,4,4
518,"emte on HR bill making additional allowance to certain public
officers for 1796",1796-05-17,4,4
519,cmte on HR bill for United Brethren’s land grant,1796-05-17,4,5
520,cmte report recommitted,1796-05-17,4,5
521,"Cmte on bill military establishment, recommitted with amendments",1796-05-20,4,5
522,"cmte on HR bill, r",1796-05-20,4,5
523,Cmte on HR bill weights & measures,1796-05-21,4,5
524,Cmte on HR bill for intercourse with foreign nations,1796-05-23,4,5
525,"cmte of Conference on bill for relief of persons imprisoned for
debt",1796-05-24,4,5
526,Cmte of Conference on bill for military establishment,1796-05-24,4,5
527,Cmte of Conference on bill for payment of certain debts,1796-05-26,4,5
528,emte of Conference on bill regulating compensation for clerks,1796-05-26,4,5
529,"Cmte on HR bill to empower Sec of T to lease salt springs
reserved for US in territory NW of OH river",1796-05-27,4,5
530,emte on HR bill for estate of Nathaniel Greene,1796-05-27,4,5
531,emte on HR bill for passports for ships & vessels,1796-05-27,4,5
