name,votes,committee,cmte_type,date,congress,page
Wingate,1,Cmte on coins,,1791-11-01,2,8
Burr,3,cmte on land office,,1791-11-01,2,8
Butler,6,cmte on land office,,1791-11-01,2,8
Cabot,3,cmte on land office,,1791-11-01,2,8
Dickinson,2,cmte on land office,,1791-11-01,2,8
Ellsworth,1,cmte on land office,,1791-11-01,2,8
Few,2,cmte on land office,,1791-11-01,2,8
Foster,11,cmte on land office,,1791-11-01,2,8
Hawkins,3,cmte on land office,,1791-11-01,2,8
Johnston,2,cmte on land office,,1791-11-01,2,8
King,12,cmte on land office,,1791-11-01,2,8
Langdon,1,cmte on land office,,1791-11-01,2,8
Monroe,11,cmte on land office,,1791-11-01,2,8
Morris,2,cmte on land office,,1791-11-01,2,8
Read,1,cmte on land office,,1791-11-01,2,8
Rutherfurd,3,cmte on land office,,1791-11-01,2,8
Robinson,2,cmte on land office,,1791-11-01,2,8
Sherman,6,cmte on land office,,1791-11-01,2,8
Strong,10,cmte on land office,,1791-11-01,2,8
Wingate,1,cmte on land office,,1791-11-01,2,8
Burr,2,Cmte of Senate Consuls,,1791-11-01,2,8
Butler,4,Cmte of Senate Consuls,,1791-11-01,2,8
Cabot,7,Cmte of Senate Consuls,,1791-11-01,2,8
Carroll,1,Cmte of Senate Consuls,,1791-11-01,2,8
Dickinson,1,Cmte of Senate Consuls,,1791-11-01,2,8
Ellsworth,6,Cmte of Senate Consuls,,1791-11-01,2,8
Hawkins,5,Cmte of Senate Consuls,,1791-11-01,2,8
Johnston,3,Cmte of Senate Consuls,,1791-11-01,2,8
King,6,Cmte of Senate Consuls,,1791-11-01,2,8
Langdon,2,Cmte of Senate Consuls,,1791-11-01,2,8
Morris,13,Cmte of Senate Consuls,,1791-11-01,2,8
Read,1,Cmte of Senate Consuls,,1791-11-01,2,8
Rutherfurd,1,Cmte of Senate Consuls,,1791-11-01,2,8
Stanton,1,Cmte of Senate Consuls,,1791-11-01,2,8
Strong,1,Cmte of Senate Consuls,,1791-11-01,2,8
Burr,14,cmte on Rules,,1791-11-01,2,9
Butler,6,cmte on Rules,,1791-11-01,2,9
Cabot,2,cmte on Rules,,1791-11-01,2,9
Dickinson,1,cmte on Rules,,1791-11-01,2,9
Foster,1,cmte on Rules,,1791-11-01,2,9
Henry,1,cmte on Rules,,1791-11-01,2,9
Johnston,4,cmte on Rules,,1791-11-01,2,9
Izard,2,cmte on Rules,,1791-11-01,2,9
King,1,cmte on Rules,,1791-11-01,2,9
Langdon,2,cmte on Rules,,1791-11-01,2,9
Monroe,3,cmte on Rules,,1791-11-01,2,9
Read,1,cmte on Rules,,1791-11-01,2,9
Robinson,5,cmte on Rules,,1791-11-01,2,9
Rutherfurd,2,cmte on Rules,,1791-11-01,2,9
Stanton,1,cmte on Rules,,1791-11-01,2,9
Sherman,3,cmte on Rules,,1791-11-01,2,9
Strong,3,cmte on Rules,,1791-11-01,2,9
Wingate,2,cmte on Rules,,1791-11-01,2,9
Butler,10,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Ellsworth,3,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Few,14,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Foster,1,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Hawkins,2,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Henry,2,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Johnston,4,Cmte on Joseph Punnell bill,,1791-11-09,2,6
King,1,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Monroe,1,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Robinson,2,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Stanton,1,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Sherman,3,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Strong,11,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Wingate,4,Cmte on Joseph Punnell bill,,1791-11-09,2,6
Bradley,2,Cmte on Joseph Punnil,,1791-11-15,2,6
Burr,10,Cmte on Joseph Punnil,,1791-11-15,2,6
Butler,2,Cmte on Joseph Punnil,,1791-11-15,2,6
Dickinson,1,Cmte on Joseph Punnil,,1791-11-15,2,6
Ellsworth,4,Cmte on Joseph Punnil,,1791-11-15,2,6
Few,3,Cmte on Joseph Punnil,,1791-11-15,2,6
Foster,1,Cmte on Joseph Punnil,,1791-11-15,2,6
Gunn,4,Cmte on Joseph Punnil,,1791-11-15,2,6
Hawkins,3,Cmte on Joseph Punnil,,1791-11-15,2,6
Langdon,1,Cmte on Joseph Punnil,,1791-11-15,2,6
Monroe,2,Cmte on Joseph Punnil,,1791-11-15,2,6
Read,1,Cmte on Joseph Punnil,,1791-11-15,2,6
Stanton,1,Cmte on Joseph Punnil,,1791-11-15,2,6
Sherman,6,Cmte on Joseph Punnil,,1791-11-15,2,6
Strong,2,Cmte on Joseph Punnil,,1791-11-15,2,6
Wingate,7,Cmte on Joseph Punnil,,1791-11-15,2,6
Bradley,6,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Burr,21,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Butler,6,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Cabot,3,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Dickinson,1,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Ellsworth,15,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Hawkins,1,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Henry,2,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Johnston,4,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Izard,4,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Langdon,3,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Monroe,10,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Morris,12,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Read,4,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Rutherfurd,2,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Sherman,4,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Strong,14,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Wingate,2,cmte on Consuls & Vice Consuls,,1791-11-16,2,6
Bradley,1,Additional cmte bill electors,,1791-11-23,2,8
Butler,7,Additional cmte bill electors,,1791-11-23,2,8
Cabot,1,Additional cmte bill electors,,1791-11-23,2,8
Ellsworth,7,Additional cmte bill electors,,1791-11-23,2,8
Gunn,1,Additional cmte bill electors,,1791-11-23,2,8
Henry,1,Additional cmte bill electors,,1791-11-23,2,8
Izard,1,Additional cmte bill electors,,1791-11-23,2,8
King,16,Additional cmte bill electors,,1791-11-23,2,8
Monroe,1,Additional cmte bill electors,,1791-11-23,2,8
Morris,3,Additional cmte bill electors,,1791-11-23,2,8
Robinson,1,Additional cmte bill electors,,1791-11-23,2,8
Strong,3,Additional cmte bill electors,,1791-11-23,2,8
Bradley,6,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Burr,12,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Butler,8,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Cabot,5,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Dickinson,2,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Ellsworth,13,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Foster,2,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Gunn,2,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Hawkins,2,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Henry,4,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Johnston,3,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Izard,5,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
King,3,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Langdon,2,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Monroe,7,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Morris,6,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Read,1,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Robinson,1,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Rutherfurd,5,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Stanton,4,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Sherman,4,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Strong,8,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Wingate,5,Cmte to revise the apportionment in OH bill,,1791-11-30,2,6
Bradley,1,Cmte on invalids bill,,1791-12-05,2,5
burr,2,Cmte on invalids bill,,1791-12-05,2,5
Cabot,2,Cmte on invalids bill,,1791-12-05,2,5
Dickinson,1,Cmte on invalids bill,,1791-12-05,2,5
Ellsworth,1,Cmte on invalids bill,,1791-12-05,2,5
Few,1,Cmte on invalids bill,,1791-12-05,2,5
Foster,2,Cmte on invalids bill,,1791-12-05,2,5
Gunn,4,Cmte on invalids bill,,1791-12-05,2,5
Hawkins,1,Cmte on invalids bill,,1791-12-05,2,5
Johnston,2,Cmte on invalids bill,,1791-12-05,2,5
Izard,4,Cmte on invalids bill,,1791-12-05,2,5
King,4,Cmte on invalids bill,,1791-12-05,2,5
Langdon,1,Cmte on invalids bill,,1791-12-05,2,5
Morris,7,Cmte on invalids bill,,1791-12-05,2,5
Read,1,Cmte on invalids bill,,1791-12-05,2,5
Robinson,3,Cmte on invalids bill,,1791-12-05,2,5
Rutherfurd,2,Cmte on invalids bill,,1791-12-05,2,5
Stanton,1,Cmte on invalids bill,,1791-12-05,2,5
Sherman,4,Cmte on invalids bill,,1791-12-05,2,5
Strong,1,Cmte on invalids bill,,1791-12-05,2,5
Wingate,12,Cmte on invalids bill,,1791-12-05,2,5
Bradley,5,Cmte on appropriations,,1791-12-09,2,5
Burr,7,Cmte on appropriations,,1791-12-09,2,5
Butler,2,Cmte on appropriations,,1791-12-09,2,5
Cabot,4,Cmte on appropriations,,1791-12-09,2,5
Dickinson,2,Cmte on appropriations,,1791-12-09,2,5
Ellsworth,3,Cmte on appropriations,,1791-12-09,2,5
Few,4,Cmte on appropriations,,1791-12-09,2,5
Foster,5,Cmte on appropriations,,1791-12-09,2,5
Gunn,6,Cmte on appropriations,,1791-12-09,2,5
Hawkins,4,Cmte on appropriations,,1791-12-09,2,5
Johnston,3,Cmte on appropriations,,1791-12-09,2,5
Izard,1,Cmte on appropriations,,1791-12-09,2,5
King,2,Cmte on appropriations,,1791-12-09,2,5
Langdon,1,Cmte on appropriations,,1791-12-09,2,5
Monroe,8,Cmte on appropriations,,1791-12-09,2,5
Morris,1,Cmte on appropriations,,1791-12-09,2,5
Read,6,Cmte on appropriations,,1791-12-09,2,5
Robinson,4,Cmte on appropriations,,1791-12-09,2,5
Rutherfurd,4,Cmte on appropriations,,1791-12-09,2,5
Stanton,4,Cmte on appropriations,,1791-12-09,2,5
Sherman,8,Cmte on appropriations,,1791-12-09,2,5
Strong,3,Cmte on appropriations,,1791-12-09,2,5
Wingate,5,Cmte on appropriations,,1791-12-09,2,5
Bradley,2,Cmte invalids bill,,1791-12-14,2,6
Burr,16,Cmte invalids bill,,1791-12-14,2,6
Butler,6,Cmte invalids bill,,1791-12-14,2,6
Cabot,3,Cmte invalids bill,,1791-12-14,2,6
Dickinsoh,2,Cmte invalids bill,,1791-12-14,2,6
Ellsworth,4,Cmte invalids bill,,1791-12-14,2,6
Few,1,Cmte invalids bill,,1791-12-14,2,6
Foster,2,Cmte invalids bill,,1791-12-14,2,6
Gunn,2,Cmte invalids bill,,1791-12-14,2,6
Henry,3,Cmte invalids bill,,1791-12-14,2,6
Johnston,1,Cmte invalids bill,,1791-12-14,2,6
Izard,2,Cmte invalids bill,,1791-12-14,2,6
Langdon,3,Cmte invalids bill,,1791-12-14,2,6
Monroe,1,Cmte invalids bill,,1791-12-14,2,6
Morris,5,Cmte invalids bill,,1791-12-14,2,6
Robinson,2,Cmte invalids bill,,1791-12-14,2,6
Rutherfurd,1,Cmte invalids bill,,1791-12-14,2,6
Stanton,1,Cmte invalids bill,,1791-12-14,2,6
Sherman,2,Cmte invalids bill,,1791-12-14,2,6
Strong,6,Cmte invalids bill,,1791-12-14,2,6
Wingate,4,Cmte invalids bill,,1791-12-14,2,6
Bradley,3,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Burr,4,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Butler,2,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Foster,3,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Gunn,1,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Hawkins,4,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Henry,4,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Johnston,2,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Izard,9,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Langdon,2,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Monroe,2,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Read,2,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Rutherfurd,3,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Wingate,1,Cmte added to the cmte IL land Co,,1791-12-15,2,5
Burr,4,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Butler,4,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Cabot,4,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Ellsworth,6,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Few,1,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
foster,1,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Gunn,3,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Hawkins,2,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Henry,4,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Johnston,3,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Izard,1,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
King,2,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Langdon,2,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Monroe,3,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Morris,2,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Read,3,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Robinson,2,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Rutherfurd,2,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Sherman,8,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Strong,9,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Wingate,3,cmte on petition of Il & Wabash Co,,1791-12-15,2,5
Bradley,5,cmte on Fisheries,,1791-12-22,2,6
Burr,5,cmte on Fisheries,,1791-12-22,2,6
Butler,5,cmte on Fisheries,,1791-12-22,2,6
Cabot,11,cmte on Fisheries,,1791-12-22,2,6
Ellsworth,3,cmte on Fisheries,,1791-12-22,2,6
Few,1,cmte on Fisheries,,1791-12-22,2,6
Foster,3,cmte on Fisheries,,1791-12-22,2,6
Gunn,1,cmte on Fisheries,,1791-12-22,2,6
Hawkins,5,cmte on Fisheries,,1791-12-22,2,6
Henry,1,cmte on Fisheries,,1791-12-22,2,6
Johnston,3,cmte on Fisheries,,1791-12-22,2,6
Izard,11,cmte on Fisheries,,1791-12-22,2,6
King,1,cmte on Fisheries,,1791-12-22,2,6
Langdon,5,cmte on Fisheries,,1791-12-22,2,6
Lee,8,cmte on Fisheries,,1791-12-22,2,6
Monroe,1,cmte on Fisheries,,1791-12-22,2,6
Morris,10,cmte on Fisheries,,1791-12-22,2,6
Read,1,cmte on Fisheries,,1791-12-22,2,6
Robinson,1,cmte on Fisheries,,1791-12-22,2,6
Rutherfurd,3,cmte on Fisheries,,1791-12-22,2,6
Stanton,1,cmte on Fisheries,,1791-12-22,2,6
Sherman,11,cmte on Fisheries,,1791-12-22,2,6
Strong,4,cmte on Fisheries,,1791-12-22,2,6
Bradley,1,Cmte on nominations of consuls,,1791-12-30,2,5
Burr,15,Cmte on nominations of consuls,,1791-12-30,2,5
Butler,6,Cmte on nominations of consuls,,1791-12-30,2,5
Cabot,1,Cmte on nominations of consuls,,1791-12-30,2,5
Ellsworth,9,Cmte on nominations of consuls,,1791-12-30,2,5
Few,2,Cmte on nominations of consuls,,1791-12-30,2,5
Foster,3,Cmte on nominations of consuls,,1791-12-30,2,5
Gunn,9,Cmte on nominations of consuls,,1791-12-30,2,5
Hawkins,4,Cmte on nominations of consuls,,1791-12-30,2,5
Henry,2,Cmte on nominations of consuls,,1791-12-30,2,5
Johnston,2,Cmte on nominations of consuls,,1791-12-30,2,5
Izard,9,Cmte on nominations of consuls,,1791-12-30,2,5
King,6,Cmte on nominations of consuls,,1791-12-30,2,5
Langdon,2,Cmte on nominations of consuls,,1791-12-30,2,5
Lee,12,Cmte on nominations of consuls,,1791-12-30,2,5
Monroe,4,Cmte on nominations of consuls,,1791-12-30,2,5
Morris,1,Cmte on nominations of consuls,,1791-12-30,2,5
Read,4,Cmte on nominations of consuls,,1791-12-30,2,5
Robinson,2,Cmte on nominations of consuls,,1791-12-30,2,5
Rutherfurd,2,Cmte on nominations of consuls,,1791-12-30,2,5
Stanton,1,Cmte on nominations of consuls,,1791-12-30,2,5
Sherman,9,Cmte on nominations of consuls,,1791-12-30,2,5
Strong,18,Cmte on nominations of consuls,,1791-12-30,2,5
Wingate,1,Cmte on nominations of consuls,,1791-12-30,2,5
Bradley,13,Cmte on Bill settling public accts,,1792-01-05,2,5
Butler,3,Cmte on Bill settling public accts,,1792-01-05,2,5
Dickinson,1,Cmte on Bill settling public accts,,1792-01-05,2,5
Ellsworth,6,Cmte on Bill settling public accts,,1792-01-05,2,5
Few,1,Cmte on Bill settling public accts,,1792-01-05,2,5
Foster,3,Cmte on Bill settling public accts,,1792-01-05,2,5
Henry,2,Cmte on Bill settling public accts,,1792-01-05,2,5
Izard,1,Cmte on Bill settling public accts,,1792-01-05,2,5
Johnston,1,Cmte on Bill settling public accts,,1792-01-05,2,5
King,1,Cmte on Bill settling public accts,,1792-01-05,2,5
Langdon,1,Cmte on Bill settling public accts,,1792-01-05,2,5
Lee,1,Cmte on Bill settling public accts,,1792-01-05,2,5
Monroe,9,Cmte on Bill settling public accts,,1792-01-05,2,5
Morris,1,Cmte on Bill settling public accts,,1792-01-05,2,5
Robinson,1,Cmte on Bill settling public accts,,1792-01-05,2,5
Rutherfurd,4,Cmte on Bill settling public accts,,1792-01-05,2,5
Sherman,2,Cmte on Bill settling public accts,,1792-01-05,2,5
Strong,4,Cmte on Bill settling public accts,,1792-01-05,2,5
Bassett,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Burr,20,Cmte on widows & orphans bill,,1792-01-10,2,5
Butler,9,Cmte on widows & orphans bill,,1792-01-10,2,5
Cabot,3,Cmte on widows & orphans bill,,1792-01-10,2,5
Carroll,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Ellsworth,4,Cmte on widows & orphans bill,,1792-01-10,2,5
Foster,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Gunn,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Izard,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Johnston,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Lee,3,Cmte on widows & orphans bill,,1792-01-10,2,5
Monroe,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Morris,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Read,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Sherman,1,Cmte on widows & orphans bill,,1792-01-10,2,5
Strong,15,Cmte on widows & orphans bill,,1792-01-10,2,5
Wingate,3,Cmte on widows & orphans bill,,1792-01-10,2,5
Bassett,5,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Bradley,2,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Butler,15,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Cabot,5,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Carroll,5,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Ellsworth,6,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Few,1,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Foster,2,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Gunn,1,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Hawkins,3,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Henry,7,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Izard,3,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Johnston,5,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
King,7,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Langdon,3,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Lee,6,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Monroe,4,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Morris,2,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Read,5,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Rutherfurd,2,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Sherman,8,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Stanton,2,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Strong,10,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Wingate,1,Cmte on Indian affairs wrt Seneca chief,,1792-01-18,2,5
Bassett,4,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Bradley,3,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Butler,3,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Cabot,4,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Carroll,4,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Dickinson,4,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Ellsworth,9,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Few,3,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Hawkins,11,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Henry,4,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Izard,6,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Johnston,3,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
King,2,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Lee,9,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Monroe,4,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Read,3,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Robinson,2,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Rutherfurd,3,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Sherman,6,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Strong,11,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Wingate,4,Cmte on Half-pay & to invalids bill,,1792-01-30,2,5
Bassett,2,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Bradley,10,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Butler,4,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Cabot,3,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Carroll,8,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Dickinson,3,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Ellsworth,10,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Few,2,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Foster,3,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Gunn,15,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Hawkins,6,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Henry,1,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Izard,6,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Johnston,2,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Langdon,2,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Lee,1,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Monroe,11,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Morris,2,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Read,4,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Rutherfurd,4,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Sherman,3,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Stanton,7,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Strong,16,Cmte on bill for military establishment and protection of frontiers,,1792-02-09,2,4
Bassett,4,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
Bradley,2,Cmte on bill for military establishment and protection of frontiers with amendments,,1792-02-17,2,4
