first_name,middle_name,last_name,age,congress,state,party,votes,committee_name,date,senator_id,senator_congress_id,committee_id
Charles,,Carroll,52,1,MD,Pro-Administration,6,cmte on Excise bill,1791-02-02,C000185,25,15
Tristram,,Dalton,51,1,MA,Pro-Administration,4,cmte on Excise bill,1791-02-02,D000013,3,15
Philemon,,Dickinson,50,1,NJ,Pro-Administration,1,cmte on Excise bill,1791-02-02,D000324,17,15
Oliver,,Ellsworth,44,1,CT,Pro-Administration,9,cmte on Excise bill,1791-02-02,E000147,4,15
William,,Few,41,1,GA,Anti-Administration,1,cmte on Excise bill,1791-02-02,F000100,19,15
Theodore,,Foster,37,1,RI,Pro-Administration,1,cmte on Excise bill,1791-02-02,F000313,20,15
James,,Gunn,36,1,GA,Anti-Administration,4,cmte on Excise bill,1791-02-02,G000526,24,15
Benjamin,,Hawkins,35,1,NC,Pro-Administration,2,cmte on Excise bill,1791-02-02,H000368,5,15
John,,Henry,39,1,MD,Pro-Administration,7,cmte on Excise bill,1791-02-02,H000508,23,15
William,Samuel,Johnson,62,1,CT,Pro-Administration,1,cmte on Excise bill,1791-02-02,J000182,6,15
