committee_id,committee_name,date,congress,page,committee_type
134,Cmte on Strong's motion for consideration of that part of the PUS's speech relating to offenses,1793-12-24,3,14,Judiciary
135,Cmte on enrolled bills,1794-01-08,3,15,Administrative
136,cmte on message of PUS on officer to manage public supplies,1794-01-08,3,15,Military
137,Cmte on elections,1794-01-13,3,15,Administrative
138,Cmte on laws passed in Territory NW of River Ohio and to report,1794-01-21,3,15,Misc
139,Cmte on military establishment,1794-01-27,3,15,Military
140,Cmte on Mint business,1794-02-09,3,15,Finance
141,Cmte on letter of Sec of Treasury,1794-02-11,3,15,Finance
142,Cmte on bill last clause PUS's message respecting Major LaFayette,1794-02-17,3,15,Claims
143,Cmte on message of PUS respecting the judiciary,1794-02-19,3,14,Judiciary
144,Cmte on bill remission of duties,1794-02-21,3,14,Commerce
145,Cmte on lighthouse on Cape Hatteras,1794-02-22,3,14,Commerce
146,cmte on appropriations,1794-02-27,3,14,Finance
147,Cmte on bill loan of $1m,1794-03-06,3,8,Finance
148,Cmte on Recess,1794-03-07,3,14,Administrative
149,cmte on Jabez Roberts petition,1794-03-13,3,13,Claims
150,Cmte fortifying ports & harbors,1794-03-13,3,14,Military
151,Cmte bill intercourse with foreign nations,1794-03-14,3,13,Foreign Affairs
152,Cmte on bill military appropriations,1794-03-14,3,13,Military
153,Cmte on bill naval armament,1794-03-17,3,13,Military
154,Cmte on bill for Arsenals & Magazines,1794-03-19,3,13,Military 
155,cmte on lost certificates,1794-03-19,3,14,Finance
156,Cmte on bill Calling Congress to alter place,1794-03-20,3,13,Administrative
157,Cmte on motion respecting district courts in NH,1794-03-21,3,13,Judiciary
158,Cmte of conference on bill for arsenals and magazines,1794-03-23,3,13,Military
159,Cmte on ag's report on Galliopolis petition,1794-03-24,3,13,Public Lands
160,Cmte on bill for Stephen Paranque,1794-03-24,3,13,Claims
161,cmte Buoys Etc,1794-03-25,3,12,Commerce
162,cmte on Jackson's bill for the widows and orphans of R Forsyth,1794-03-26,3,12,Claims
163,Cmte on PUS's message re embargo,1794-03-28,3,12,Foreign Affairs
164,Cmte on bill for recruiting service etc,1794-04-07,3,12,Military
165,Cmte on bill for Col Tousard pension,1794-04-10,3,12,Claims
166,cmte on Kimberly Bill,1794-04-10,3,12,Claims
167,Cmte on Seaquin lighthouse,1794-04-10,3,12,Commerce
168,Cmte on petition of Messrs Stewart & Plunket,1794-04-12,3,11,Claims
169,Cmte on motion of Edwards respecting navigation of MS,1794-04-16,3,12,Commerce
170,Cmte of conference on PO bill,1794-04-23,3,11,Post Office
171,cmte on bill raising 80000 militia,1794-04-24,3,11,Military
172,Cmte on report of Sec of War re invalids,1794-04-25,3,11,Claims
173,Cmte of conference on bill recruiting service,1794-04-29,3,11,Military
174,Cmte Galliopolis bill,1794-04-30,3,11,Public Lands
175,Cmte on James Mathers & others petition,1794-04-30,3,11,Administrative
176,Cmte on bill to prohibit exportation of military stores,1794-05-06,3,10,Military
177,Cmte on Hawkins's motion re timber for building ships,1794-05-06,3,11,Military
178,Cmte on Butler's motion respecting embargo,1794-05-07,3,10,Foreign Affairs
179,Cmte on meeting of Congress,1794-05-08,3,10,Administrative
180,Cmte on Ellsworth's bill re circuit courts,1794-05-12,3,10,Judiciary
181,Jt cmte on business prior to recess,1794-05-15,3,10,Administrative
182,Cmte on petitions of Moses Brown et al and Oliver & Thompson et al,1794-05-16,3,10,Claims
183,Cmte on bill payment of interest,1794-05-19,3,10,Finance
184,Cmte on bill further duties on goods etc,1794-05-20,3,10,Commerce
185,Cmte on Jackson's bill to allow President to have built or purchased vessels during recess,1794-05-21,3,10,Military
186,cmte on HR bill for St Clair compensation,1794-05-22,3,9,Claims
187,Cmte on Ellsworth's motion to settle accounts of loan officers,1794-05-22,3,10,Finance
188,Cmte on Ross's motion re military force,1794-05-25,3,9,Military
189,Cmte on NC boundary,1794-05-26,3,9,Public Lands
190,Cmte on bill for collecting duties distilled spirits,1794-05-27,3,9,Commerce
191,Cmte bill military rights for VA line,1794-05-28,3,9,Claims
192,Cmte on Bill for duties on snuff & tobacco,1794-05-28,3,9,Commerce
193,Cmte on bill for protection of SW frontier,1794-05-30,3,9,Military
194,Cmte of conference on bill for collection of duties,1794-05-31,3,9,Commerce
195,cmte on bill license spirit liquors,1794-06-03,3,8,Commerce
196,Cmte bill on John Robbe,1794-06-03,3,9,Claims
197,Cmte on bill for payment to French Republic,1794-06-03,3,9,Foreign Affairs
198,Cmte on R Forsyth bill,1794-06-04,3,8,Claims
199,Cmte on useful arts bill,1794-06-04,3,8,Commerce
200,Cmte to alter the time and place of holding district courts,1794-06-04,3,8,Judiciary
201,Cmte on Clerks in Auditors office petition,1794-06-06,3,8,Military
202,Cmte on health office bill,1794-06-06,3,8,Commerce
203,Cmte of Conference on bill for protection of SW settlers,1794-06-07,3,8,Military
204,Cmte on appropriations bill,1794-06-07,3,8,Finance
205,Cmte on clerks's bill,1794-06-07,3,8,Claims
206,cmte to wait on pres,1794-06-07,3,8,Ceremonial
207,Jt cmte to wait on PUS,1794-11-18,3,5,Ceremonial
208,Cmte to prepare reply to PUS address,1794-11-19,3,5,Ceremonial
209,Cmte to compel members,1794-11-21,3,4,Administrative
210,Cmte on enrolled bills,1794-11-27,3,5,Administrative
211,Cmte on bill Griffith Jones and others,1794-12-02,3,5,Claims
212,Cmte on judiciary,1794-12-04,3,5,Judiciary
213,Jt cmte on necessary business,1794-12-08,3,1,Administrative
214,Cmte on HR bill for Peter Covenhoven,1794-12-09,3,4,Claims
215,Jt Cmte on necessary business to replace Ellsworth,1794-12-09,3,5,Administrative
216,cmte on compensation of clerks in public offices,1794-12-10,3,5,Finance
217,Cmte on PUS' message on officer to manage public supplies,1794-12-11,3,4,Military
218,cmte on appropriation bill,1794-12-11,3,5,Finance
219,cmte on outlawry,1794-12-11,3,5,Judiciary
220,Cmte on PO bill,1794-12-11,3,5,Post Office
221,Cmte on 2m appropriation,1794-12-11,3,7,Finance
222,Cmte on bill E Blanchard,1794-12-15,3,4,Claims
223,cmte on bill to pay militia,1794-12-15,3,4,Military
224,Cmte on military est bill,1794-12-19,3,4,Military
225,Cmte on bill to transfer stock to credit certain states,1794-12-23,3,4,Finance
226,Cmte on Amendment to amendment of Senate on bill pay of militia,1794-12-24,3,3,Military
227,Conference on militia bill,1794-12-26,3,3,Military
228,Cmte on army nominations and promotions,1794-12-29,3,3,Military
229,Cmte on petition of E Prentiss,1794-12-29,3,3,Claims
230,Cmte on Judiciary,1794-12-30,3,2,Judiciary
231,Cmte on bill to extend loan on domestic debt,1794-12-31,3,3,Finance
232,Cmte on treaty with Cherokee,1795-01-05,3,3,Indian Affairs
233,Cmte on bill for damage by sufferers from insurgents,1795-01-07,3,2,Claims
234,Cmte on Pickering's treaty with 6 Nations,1795-01-07,3,4,Indian Affairs
235,Cmte bill drawbacks,1795-01-08,3,3,Commerce
236,Cmte on bill to supplement several acts imposing duties,1795-01-12,3,3,Commerce
237,Cmte on Galliopolis,1795-01-13,3,2,Public Lands
238,Cmte on Ross's motion respecting extra compensation for certain clerks in public office,1795-01-13,3,2,Finance
239,cmte on naturalization bill,1795-01-16,3,3,Judiciary
240,Cmte on Eliphas Jones's bill,1795-01-20,3,3,Claims
241,Cmte on supplemental bill to Licensing ships act,1795-01-26,3,1,Commerce
242,Cmte on Z Allen's petition,1795-01-27,3,1,Claims
243,Cmte on bill for invalids,1795-01-28,3,5,Claims
244,Cmte on bill respecting export of arms,1795-01-30,3,1,Commerce
245,cmte bill marine hospital,1795-02-04,3,6,Military
246,Cmte on bill drawback ship Enterprise,1795-02-05,3,6,Commerce
247,Cmte to consider what laws are expired,1795-02-05,3,6,Judiciary
248,Cmte bill to pay revenue officers,1795-02-06,3,6,Commerce
249,Cmte on G'town lighthouse,1795-02-09,3,1,Commerce
250,Cmte on HR amendments to PO bill,1795-02-10,3,6,Post Office
251,Cmte of conference on bill for enrolling & licensing ships,1795-02-11,3,7,Commerce
252,Cmte bill reimburse loan,1795-02-12,3,6,Finance
253,Cmte on last part of report on compensation of clerks,1795-02-13,3,7,Finance
254,Cmte on Resolution laws NW OH,1795-02-16,3,7,Judiciary
255,Cmte on petition of John McLean: Feb 17,1795-02-17,3,7,Claims
256,Cmte on Collection of US & individual debts bill,1795-02-18,3,1,Finance
257,Cmte on military establishment,1795-02-18,3,1,Military
258,Cmte PUS's message on GA laws,1795-02-18,3,6,Judiciary
259,Cmte of conference port office,1795-02-20,3,2,Commerce
260,Cmte on publish laws,1795-02-20,3,2,Administrative
261,Cmte on Seymour's bill,1795-02-20,3,2,Claims
262,Cmte on bill call forth militia,1795-02-20,3,4,Military
263,Cmte on bill for George Gibbs drawback on duties for exported wines,1795-02-20,3,4,Commerce
264,Cmte on public credit bill,1795-02-23,3,1,Finance
265,Cmte on daughters Count de Grasse,1795-02-23,3,2,Claims
266,Cmte on Robert Barton Bill and others & bill for Spencer Man and Frantz Jacobs,1795-02-23,3,2,Claims
267,Cmte on cession of lands for lighthouse bill,1795-02-25,3,1,Commerce
268,Cmte on  reief of Jose Roiz Silva's bill,1795-02-25,3,7,Claims
269,Cmte on bill grant lands to French inhabitants of Galliopolis,1795-02-25,3,7,Public Lands
270,Cmte on drawbacks bill & mint,1795-02-27,3,7,Finance
271,Cmte on military appropriations bill,1795-02-27,3,7,Military
272,Cmte on Bill for snuff and sugar,1795-02-28,3,7,Commerce
273,Cmte to wait on Pres,1795-03-03,3,8,Ceremonial
274,Cmte on answer to PUS's message,1795-12-08,4,1,Ceremonial
275,Cmte on mint,1795-12-14,4,1,Finance
276,cmte on petition of John Blanch,1795-12-14,4,1,Claims
277,Cmte on the report of Sec of War on Indian trade,1795-12-16,4,1,Indian Affairs
278,cmte on unfinished business,1795-12-17,4,1,Administrative
279,Cmte Indian Treaty,1795-12-18,4,1,Indian Affairs
280,Cmte Jerry Allen's petition,1795-12-22,4,1,Claims
281,Cmte on outlawry bill,1795-12-23,4,1,Judiciary
282,Cmte on Marine hospital bill,1795-12-28,4,1,Military
283,Cmte bill Indian Trade,1795-12-28,4,2,Indian Affairs
284,cmte revise judiciary,1796-01-13,4,2,Judiciary
285,Cmte to inquire what laws are about to expire,1796-01-21,4,2,Judiciary
286,Cmte on appropriation bill,1796-01-26,4,2,Finance
287,Cmte on 2 messages of PUS on coinage and provision for jails,1796-01-29,4,2,Misc
288,Cmte on Butler's motion on imports,1796-02-01,4,2,Commerce
289,Cmte on enrolled bills,1796-02-02,4,1,Administrative
290,Cmte on John Howell's petition for revenue cutters in naval establishment,1796-02-04,4,2,Military
291,Cmte on bill Indian Trade,1796-02-05,4,2,Indian Affairs
292,Cmte on petition Thomas Leiper and repeal of excise on snuff,1796-02-10,4,3,Commerce
293,Cmte on bill for payment of clerks,1796-02-12,4,3,Administrative
294,Cmte on clerks petition yellow fever,1796-02-12,4,3,Administrative
295,Cmte on prisoners for debt bill,1796-02-17,4,2,Judiciary
296,Cmte to consider Treaty with Dey of Algiers,1796-02-18,4,2,Foreign Affairs
297,cmte to recommit bill for compensation for clerks,1796-02-19,4,3,Finance
298,Cmte on bill relief of Ben Strother,1796-02-22,4,3,Claims
299,Cmte on invalid bill,1796-02-22,4,3,Claims
300,Cmte on petition of Rufus Putman & others,1796-02-24,4,3,Claims
301,Cmte on Israel Loring,1796-03-01,4,3,Claims
302,Cmte on Jose R Silva,1796-03-02,4,3,Claims
303,Cmte on KY Papers from Governor,1796-03-02,4,3,Misc
304,Cmte on bill respecting clerks in place of Ellsworth,1796-03-04,4,4,Finance
305,Cmte on Judiciary in place Ellsworth,1796-03-04,4,4,Judiciary
306,Cmte on Anthony Walton White reimbursement advanced to Army,1796-03-08,4,4,Claims
307,Cmte on message respecting frigates,1796-03-15,4,4,Military
308,Cmte on petition of Charles King and others,1796-03-18,4,4,Claims
309,Cmte on Henry Messonier,1796-03-23,4,4,Claims
310,Cmte to bring bill NC Courts,1796-03-23,4,4,Judiciary
311,Cmte on Ebenezer Zane petition,1796-03-25,4,4,Claims
312,Cmte on bill MD,1796-03-28,4,4,Misc
313,Cmte on Pension bill,1796-03-28,4,4,Claims
314,Cmte on petition of Legare and company for remission of duties,1796-04-01,4,4,Claims
315,Cmte bill officers widows,1796-04-04,4,5,Claims
316,cmte on federal city bill,1796-04-04,4,5,Washington DC
317,Cmte of conference Indian trading houses bill,1796-04-05,4,5,Indian Affairs
318,cmte on Judiciary in place of Walton,1796-04-06,4,5,Judiciary
319,Cmte bill impressing seamen,1796-04-07,4,5,Foreign Affairs
320,Cmte on bill sale of lands,1796-04-08,4,5,Public Lands
321,Cmte on petition of Charles Colvil,1796-04-12,4,5,Claims
322,Cmte on public debt,1796-04-13,4,5,Finance
323,Cmte on message new State south of Ohio river,1796-04-14,4,5,Judiciary
324,Cmte on enrolled bills in place of absent Paine,1796-04-15,4,5,Administrative
325,Cmte on bills providing for Indian & Spanish treaties,1796-04-20,4,5,Indian Affairs
326,Cmte on bill revenue cutters,1796-04-26,4,6,Military
327,cmte Bill Indian Trade in place of Strong,1796-04-27,4,6,Indian Affairs
328,Cmte on merchants petition of French in W Indies,1796-04-27,4,6,Commerce
329,cmte on message fees to the DAs,1796-04-29,4,6,Judiciary
330,Cmte on report of att general respecting lands in SW,1796-04-29,4,6,Public Lands
331,Jt Cmte on recess,1796-05-02,4,6,Administrative
332,Cmte on bill owners of stills,1796-05-04,4,6,Military
333,Cmte on military establishment,1796-05-04,4,6,Military
334,Cmte on report of att general respecting lands in SW in place of Gunn,1796-05-05,4,6,Public Lands
335,cmte bill Moses Myers,1796-05-06,4,6,Claims
336,cmte Bill J Hastings,1796-05-06,4,7,Claims
337,Cmte horses billed in battle,1796-05-06,4,7,Administrative
338,Cmte Leap Lead lighthouse Cape Cod - MA,1796-05-06,4,7,Commerce
339,cmte on bill collection of duties,1796-05-06,4,7,Commerce
340,Cmte on payments of debts of states bill,1796-05-06,4,7,Finance
341,Cmte on bill for laying duties on carriages,1796-05-09,4,7,Commerce
342,Cmte Silvanus Brown,1796-05-10,4,7,Claims
343,cmte on VT & RI Courts,1796-05-11,4,7,Judiciary
344,Cmte bill relative to quarantine,1796-05-13,4,7,Commerce
345,cmte bill sale prizes to foreign princes,1796-05-14,4,7,Foreign Affairs
346,Cmte on military bill in place of Frelinghuysen,1796-05-17,4,7,Military
347,cmte bill on united brethren's land grant,1796-05-17,4,8,Claims
348,Cmte on bill pay for public officers,1796-05-17,4,8,Finance
349,Cmte on Post roads from Portland ME to Savannah GA,1796-05-20,4,8,Post Office
350,Cmte on Weights & measures,1796-05-20,4,8,Commerce
351,Cmte on bill intercourse with foreign nations,1796-05-21,4,8,Foreign Affairs
352,Cmte of conference on bills for imprisonment for debt,1796-05-23,4,8,Judiciary
353,Cmte of Conf military establishment bill,1796-05-24,4,8,Military
354,Cmte on sugar & snuff drawback bill & petition,1796-05-24,4,8,Commerce
355,Cmte of Conference on bill to regulate pay of certain clerks,1796-05-26,4,8,Finance
356,Cmte on HR to prevent sale of prizes to replace Cabot,1796-05-26,4,8,Foreign Affairs
357,Conference cmte bill certain debts,1796-05-26,4,8,Finance
358,Cmte bill passports for US ships,1796-05-27,4,9,Commerce
359,Cmte on Bill for gen Greene,1796-05-27,4,9,Claims
360,Cmte on salt springs,1796-05-27,4,9,Commerce
361,Cmte on insurrection bill,1796-05-28,4,9,Judiciary
362,Cmte on John Sears,1796-05-28,4,9,Claims
363,Cmte on John Symmes,1796-05-28,4,9,Public Lands
364,Cmte of conference on sugar and snuff bill,1796-05-30,4,9,Commerce
365,cmte to wait on PUS,1796-05-30,4,9,Ceremonial
366,Cmte of conference on land ceded by North Carolina - re Tennessee,1796-05-31,4,9,Public Lands
367,Cmte on military appropriations,1796-05-31,4,9,Military
368,Cmte on next mtg of Congress,1796-06-01,4,9,Administrative
369,Cmte on embargo,1796-06-01,4,10,Foreign Affairs
370,Jt cmte to wait on PUS,1796-12-06,4,10,Ceremonial
371,Cmte on PUS's speech,1796-12-07,4,10,Ceremonial
372,Cmte respecting resignation of senators,1796-12-08,4,10,Administrative
373,Cmte on compensation of clerks in office of secretary of Senate,1796-12-13,4,10,Administrative
374,Cmte on bill promulgation of laws,1796-12-14,4,10,Judiciary
375,Cmte on augmentation of salaries of government officials and members of legislature,1796-12-16,4,10,Finance
376,Cmte on expiring laws,1796-12-16,4,10,Administrative
377,Cmte on enrolled bills,1796-12-19,4,10,Administrative
378,Cmte on unfinished business - Dec 26,1796-12-26,4,10,Administrative
379,Cmte on bill to give effect to US laws in state of Tennessee,1796-12-26,4,11,Judiciary
380,Cmte on bill John Sears,1796-12-29,4,11,Claims
381,cmte on motion on GA lands,1796-12-29,4,11,Public Lands
382,Cmte on motion re counterfeiting Bank notes,1796-12-30,4,11,Finance
383,Cmte on motion re Govt west of OH,1797-01-02,4,11,Judiciary
384,Cmte on motion fugitives from justice,1797-01-03,4,11,Judiciary
385,Cmte on bill crimes punishment,1797-01-04,4,11,Judiciary
386,Cmte on PUS's message on Algerian Affairs,1797-01-11,4,11,Foreign Affairs
387,Cmte on Mr Poirey - secretary to Lafayette - bill,1797-01-13,4,12,Claims
388,Cmte on GA Creeks treaty,1797-01-16,4,12,Indian Affairs
389,Cmte on IL & Wabash,1797-01-16,4,12,Public Lands
390,Cmte on district judges,1797-01-17,4,11,Judiciary
391,Cmte on resolution--state balances,1797-01-18,4,12,Finance
392,Cmte bill NC,1797-01-24,4,12,Commerce
393,Cmte on BUS frauds bill,1797-01-24,4,12,Finance
394,Cmte on Benjamin Walker,1797-01-25,4,12,Claims
395,Cmte on amendment to the Constitution,1797-01-27,4,12,Judiciary
396,Cmte on votes for PUS & VP,1797-01-31,4,12,Ceremonial
397,Cmte on petition of Glasgow & others,1797-01-31,4,14,Claims
398,Votes for teller for PUS & VP,1797-02-02,4,12,Public Lands
399,cmte on PO,1797-02-07,4,13,Post Office
400,Cmte on Anthony W White,1797-02-09,4,13,Claims
401,Cmte on bill for military establishment,1797-02-09,4,13,Military
402,Jt Cmte re arrangements for PUS,1797-02-09,4,13,Ceremonial
403,Cmte to notify VP of election as PUS,1797-02-10,4,13,Ceremonial
404,Cmte on bill distilled spirits,1797-02-15,4,13,Commerce
405,Cmte on bill for circuit courts,1797-02-15,4,13,Judiciary
406,Cmte on bill for de Neufville,1797-02-15,4,13,Claims
407,Cmte on bill settlement of accounts between US and receivers of public moneys,1797-02-16,4,13,Finance
408,Cmte to draft answer to VP's farewell address,1797-02-16,4,13,Ceremonial
409,Cmte on Conference on state balances,1797-02-17,4,14,Finance
410,Cmte on HR Bills on Navy and coastal trade,1797-02-20,4,14,Military
411,Cmte bill appropriation- insurrection,1797-02-23,4,14,Finance
412,Cmte on bill for salary for AG,1797-02-23,4,14,Judiciary
413,Cmte bill Dey Regency Algiers,1797-02-24,4,14,Foreign Affairs
